cluster,number_of_accidents,average_accident_time,most_common_day
337,7,2021-08-22 17:08:34.285714176+00:00,SAT
338,30,2022-06-09 04:14:14+00:00,WED
339,8,2021-05-01 18:00:00+00:00,MON
340,1,2020-12-10 00:00:00+00:00,THU
341,6,2022-03-07 00:00:00+00:00,TUE
342,1,2021-03-12 00:00:00+00:00,FRI
343,11,2021-10-31 15:16:21.818181888+00:00,SUN
344,7,2022-01-20 06:51:25.714285824+00:00,THU
345,4,2021-01-31 00:00:00+00:00,FRI
346,2,2021-01-14 00:00:00+00:00,MON
347,1,2021-03-26 00:00:00+00:00,FRI
348,2,2021-05-31 00:00:00+00:00,FRI
349,2,2021-11-30 12:00:00+00:00,WED
350,6,2021-11-14 12:00:00+00:00,FRI
351,3,2021-12-28 00:00:00+00:00,WED
352,2,2021-10-24 12:00:00+00:00,SUN
353,11,2020-12-20 21:49:05.454545408+00:00,SUN
354,2,2021-07-25 00:00:00+00:00,FRI
355,3,2021-05-12 08:00:00+00:00,FRI
356,1,2021-04-01 00:00:00+00:00,THU
357,1,2021-04-04 22:25:00+00:00,SUN
358,2,2021-12-16 00:00:00+00:00,TUE
359,1,2021-04-02 00:00:00+00:00,FRI
360,1,2021-03-30 00:00:00+00:00,TUE
361,2,2020-12-18 12:00:00+00:00,THU
362,12,2021-10-21 08:00:00+00:00,TUE
363,10,2021-08-13 16:48:30+00:00,SUN
364,1,2021-04-14 00:00:00+00:00,WED
365,3,2021-08-18 16:00:00+00:00,TUE
366,1,2021-04-22 00:00:00+00:00,THU
367,1,2021-04-24 00:00:00+00:00,SAT
368,3,2021-06-08 16:00:00+00:00,WED
369,1,2021-04-16 00:00:00+00:00,FRI
370,1,2021-04-24 00:00:00+00:00,SAT
371,27,2022-03-22 09:15:04.444444416+00:00,TUE
372,3,2021-08-24 16:00:00+00:00,FRI
373,2,2022-05-21 00:00:00+00:00,WED
374,22,2022-01-18 17:27:16.363636480+00:00,SAT
375,1,2021-05-07 00:00:00+00:00,FRI
376,1,2021-05-08 00:00:00+00:00,SAT
377,1,2021-04-25 00:00:00+00:00,SUN
378,4,2022-08-20 06:00:00+00:00,WED
379,4,2021-07-03 17:39:45+00:00,TUE
380,1,2021-05-12 00:00:00+00:00,WED
381,6,2021-11-11 16:00:00+00:00,TUE
382,11,2021-11-12 17:16:21.818181888+00:00,WED
383,25,2021-08-26 05:09:48+00:00,MON
384,21,2021-10-10 21:33:00+00:00,SAT
385,10,2022-01-07 20:16:30+00:00,THU
386,1,2021-05-15 00:00:00+00:00,SAT
387,1,2021-05-20 15:40:00+00:00,THU
388,2,2022-05-20 00:00:00+00:00,TUE
389,1,2021-05-26 00:00:00+00:00,WED
390,2,2022-06-29 00:00:00+00:00,FRI
391,13,2021-08-16 20:04:36.923076864+00:00,TUE
392,2,2021-06-28 06:20:00+00:00,THU
393,11,2022-03-02 08:02:43.636363520+00:00,WED
394,1,2021-05-18 13:59:00+00:00,TUE
395,33,2022-01-07 23:52:36.363636480+00:00,THU
396,1,2021-03-20 00:00:00+00:00,SAT
397,7,2022-01-27 00:00:00+00:00,THU
398,1,2021-05-28 00:00:00+00:00,FRI
399,16,2021-11-14 14:12:30+00:00,TUE
400,4,2021-11-30 12:45:30+00:00,FRI
401,15,2022-03-24 04:26:00+00:00,SAT
402,2,2020-12-26 21:27:30+00:00,FRI
403,8,2021-11-02 07:56:15+00:00,THU
404,1,2021-05-27 00:00:00+00:00,THU
405,19,2022-04-16 18:56:50.526315776+00:00,SUN
406,1,2021-06-12 23:31:00+00:00,SAT
407,1,2021-05-27 00:00:00+00:00,THU
408,2,2021-05-27 00:00:00+00:00,THU
409,1,2021-05-27 00:00:00+00:00,THU
410,1,2020-05-27 21:00:00+00:00,WED
411,4,2021-11-04 18:00:00+00:00,FRI
412,1,2021-06-01 00:00:00+00:00,TUE
413,1,2021-06-11 13:54:00+00:00,FRI
414,1,2021-06-15 00:00:00+00:00,TUE
415,27,2021-08-30 02:31:42.222222336+00:00,THU
416,1,2021-06-16 00:00:00+00:00,WED
417,5,2022-03-24 09:36:00+00:00,MON
418,2,2022-02-20 12:00:00+00:00,WED
419,1,2021-06-23 00:00:00+00:00,WED
420,13,2021-03-17 09:51:04.615384576+00:00,THU
421,5,2022-01-27 09:36:00+00:00,FRI
422,21,2021-11-07 03:27:40+00:00,FRI
423,1,2021-06-26 00:00:00+00:00,SAT
424,10,2021-10-26 13:46:30+00:00,SUN
425,5,2021-07-05 14:24:00+00:00,MON
426,17,2021-09-13 06:53:21.176470528+00:00,SAT
427,9,2021-10-25 17:41:26.666666752+00:00,FRI
428,1,2021-07-01 15:02:00+00:00,THU
429,33,2021-12-04 01:26:10.909090816+00:00,FRI
430,2,2021-07-02 12:00:00+00:00,WED
431,2,2022-06-08 12:00:00+00:00,SUN
432,7,2022-04-28 09:17:08.571428608+00:00,SUN
433,1,2021-07-06 00:00:00+00:00,TUE
434,1,2021-07-07 00:00:00+00:00,WED
435,2,2020-10-21 00:00:00+00:00,TUE
436,25,2022-05-12 14:58:28.799999744+00:00,SUN
437,1,2021-07-25 00:00:00+00:00,SUN
438,7,2022-02-21 05:58:34.285714176+00:00,WED
439,11,2022-01-28 09:40:27.272727296+00:00,FRI
440,1,2021-07-14 00:00:00+00:00,WED
441,33,2021-08-04 13:02:40+00:00,SAT
442,5,2021-12-25 19:12:00+00:00,WED
443,16,2022-04-21 04:30:00+00:00,WED
444,2,2022-04-23 12:00:00+00:00,TUE
445,52,2022-01-11 05:48:41.538461696+00:00,TUE
446,2,2022-06-13 12:00:00+00:00,THU
447,7,2022-07-26 04:34:17.142857216+00:00,SAT
448,9,2021-09-21 10:20:00+00:00,SAT
449,8,2022-09-27 09:53:00+00:00,TUE
450,123,2021-06-10 23:04:47.317073152+00:00,WED
451,8,2022-05-02 21:00:00+00:00,MON
452,1,2021-09-01 00:00:00+00:00,WED
453,1,2021-09-01 00:00:00+00:00,WED
454,14,2022-04-09 08:02:12.857142784+00:00,MON
455,1,2021-08-23 00:00:00+00:00,MON
456,1,2021-08-28 00:00:00+00:00,SAT
457,3,2022-06-01 16:00:00+00:00,SUN
458,99,2021-09-09 06:08:35.757575936+00:00,THU
459,1,2021-09-02 00:00:00+00:00,THU
460,2,2022-06-02 12:00:00+00:00,WED
461,4,2020-12-20 12:00:00+00:00,FRI
462,1,2021-08-27 00:00:00+00:00,FRI
463,2,2022-05-08 00:00:00+00:00,TUE
464,12,2022-03-15 06:00:00+00:00,SUN
465,16,2021-06-20 21:31:00+00:00,FRI
